course-full,course-code,course-title,course-href,level
SA218 Criminological Perspectives,SA218,Criminological Perspectives,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA218.htm,Undergraduate
GY121 Sustainable Development,GY121,Sustainable Development,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY121.htm,Undergraduate
EC317 Labour Economics,EC317,Labour Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC317.htm,Undergraduate
AN245 The Anthropology of Borders and Boundaries,AN245,The Anthropology of Borders and Boundaries,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN245.htm,Undergraduate
AN102 Reading Other Cultures: Anthropological Interpretation of Text and Film,AN102,Reading Other Cultures: Anthropological Interpretation of Text and Film,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN102.htm,Undergraduate
SO110 Key Issues in Contemporary Societies: An Introduction to Contemporary Sociology,SO110,Key Issues in Contemporary Societies: An Introduction to Contemporary Sociology,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO110.htm,Undergraduate
EH306 Monetary and Financial History since 1750,EH306,Monetary and Financial History since 1750,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH306.htm,Undergraduate
EH204 Money and Finance: From the Middle Ages to Modernity,EH204,Money and Finance: From the Middle Ages to Modernity,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH204.htm,Undergraduate
ST306 Actuarial Mathematics (General),ST306,Actuarial Mathematics (General),http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST306.htm,Undergraduate
LN142 Mandarin Language and Society 2 (Intermediate),LN142,Mandarin Language and Society 2 (Intermediate),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN142.htm,Undergraduate
"SO212 Work, Management and Globalization",SO212,"Work, Management and Globalization",http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO212.htm,Undergraduate
MG228 Managing the Stone-Age Brain,MG228,Managing the Stone-Age Brain,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG228.htm,Undergraduate
LL305 Jurisprudence,LL305,Jurisprudence,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL305.htm,Undergraduate
PH231 Evidence and Policy,PH231,Evidence and Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH231.htm,Undergraduate
GV312 Advanced Topics in Government: Executive Politics,GV312,Advanced Topics in Government: Executive Politics,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV312.htm,Undergraduate
EC311 History of Economics: How Theories Change,EC311,History of Economics: How Theories Change,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC311.htm,Undergraduate
IR312 Genocide,IR312,Genocide,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR312.htm,Undergraduate
LL212 Conflict of Laws,LL212,Conflict of Laws,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL212.htm,Undergraduate
HY239 Latin America and the United States since 1898,HY239,Latin America and the United States since 1898,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY239.htm,Undergraduate
MG207 Economics for Management,MG207,Economics for Management,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG207.htm,Undergraduate
ST226 Actuarial Investigations: Financial,ST226,Actuarial Investigations: Financial,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST226.htm,Undergraduate
SA103 Introduction to Global Population Change,SA103,Introduction to Global Population Change,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA103.htm,Undergraduate
"GY120 Environmental Change: Past, Present and Future",GY120,"Environmental Change: Past, Present and Future",http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY120.htm,Undergraduate
LL253 The Law of Corporate Insolvency,LL253,The Law of Corporate Insolvency,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL253.htm,Undergraduate
IR311 Europe's Institutional Order,IR311,Europe's Institutional Order,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR311.htm,Undergraduate
IR203 International Organisations,IR203,International Organisations,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR203.htm,Undergraduate
SA320 Comparative and International Social Policy,SA320,Comparative and International Social Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA320.htm,Undergraduate
"PH228 Emotion, Cognition and Behaviour: Science and Policy",PH228,"Emotion, Cognition and Behaviour: Science and Policy",http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH228.htm,Undergraduate
LL233 Law of Evidence,LL233,Law of Evidence,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL233.htm,Undergraduate
ST330 Stochastic and Actuarial Methods in Finance,ST330,Stochastic and Actuarial Methods in Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST330.htm,Undergraduate
MG312 Extreme Organisational Behaviour: Examining behaviour in non-normative organisational contexts,MG312,Extreme Organisational Behaviour: Examining behaviour in non-normative organisational contexts,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG312.htm,Undergraduate
"HY324 Muslim-Jewish Relations: History and Memory in the Middle East and Europe, 622-1945",HY324,"Muslim-Jewish Relations: History and Memory in the Middle East and Europe, 622-1945",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY324.htm,Undergraduate
ST304 Time Series and Forecasting,ST304,Time Series and Forecasting,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST304.htm,Undergraduate
MA305 Optimisation in Function Spaces,MA305,Optimisation in Function Spaces,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA305.htm,Undergraduate
LN140 Mandarin Language and Society 3 (Advanced),LN140,Mandarin Language and Society 3 (Advanced),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN140.htm,Undergraduate
EC202 Microeconomic Principles II,EC202,Microeconomic Principles II,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC202.htm,Undergraduate
"AC330 Financial Accounting, Analysis and Valuation.",AC330,"Financial Accounting, Analysis and Valuation.",http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC330.htm,Undergraduate
AN100 Introduction to Social Anthropology,AN100,Introduction to Social Anthropology,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN100.htm,Undergraduate
"GY2A0 Research Techniques (Spatial, Social and Environmental)",GY2A0,"Research Techniques (Spatial, Social and Environmental)",http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY2A0.htm,Undergraduate
GY244 London's Geographies:An Introduction to Cultural and Historical Geography,GY244,London's Geographies:An Introduction to Cultural and Historical Geography,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY244.htm,Undergraduate
EH240 Business and Economic Performance since 1945: Britain in International Context,EH240,Business and Economic Performance since 1945: Britain in International Context,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH240.htm,Undergraduate
IR315 The Middle East and International Relations Theory,IR315,The Middle East and International Relations Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR315.htm,Undergraduate
GY222 Applied Environmental Economics,GY222,Applied Environmental Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY222.htm,Undergraduate
GV309 Politics of Money and Finance in Comparative Perspective,GV309,Politics of Money and Finance in Comparative Perspective,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV309.htm,Undergraduate
IR319 Empire and Conflict in World Politics,IR319,Empire and Conflict in World Politics,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR319.htm,Undergraduate
EC319 Economic Theory and its Applications,EC319,Economic Theory and its Applications,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC319.htm,Undergraduate
LL109 Introduction to the Legal System,LL109,Introduction to the Legal System,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL109.htm,Undergraduate
"SA221 Poverty, Social Exclusion and Social Change",SA221,"Poverty, Social Exclusion and Social Change",http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA221.htm,Undergraduate
AN205 The Anthropology of Melanesia,AN205,The Anthropology of Melanesia,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN205.htm,Undergraduate
AC102 Elements of Financial Accounting,AC102,Elements of Financial Accounting,http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC102.htm,Undergraduate
"AC340 Auditing, Governance and Risk Management",AC340,"Auditing, Governance and Risk Management",http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC340.htm,Undergraduate
"HY216 Four Reichs: Austria, Prussia and the Contest for Germany since 1618",HY216,"Four Reichs: Austria, Prussia and the Contest for Germany since 1618",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY216.htm,Undergraduate
LSE100 The LSE Course: Understanding the causes of things,LSE10, The LSE Course: Understanding the causes of things,http://www.lse.ac.uk/resources/calendar/courseGuides/LS/2014_LSE100.htm,Undergraduate
PH225 Business and Organisational Ethics,PH225,Business and Organisational Ethics,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH225.htm,Undergraduate
MG304 Digital Platform Innovation,MG304,Digital Platform Innovation,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG304.htm,Undergraduate
IR317 American Grand Strategy,IR317,American Grand Strategy,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR317.htm,Undergraduate
"HY322 Nazi Germany and the Second World War â€“ Causes and Course, 1933-1945",HY322,"Nazi Germany and the Second World War â€“ Causes and Course, 1933-1945",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY322.htm,Undergraduate
LN253 European Literature and Society,LN253,European Literature and Society,http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN253.htm,Undergraduate
IR318 Visual International Politics,IR318,Visual International Politics,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR318.htm,Undergraduate
MG208 Business Transformation and Project Management,MG208,Business Transformation and Project Management,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG208.htm,Undergraduate
SO203 Political Sociology,SO203,Political Sociology,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO203.htm,Undergraduate
HY320 The Cold War Endgame,HY320,The Cold War Endgame,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY320.htm,Undergraduate
MA315 Algebra and its Applications,MA315,Algebra and its Applications,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA315.htm,Undergraduate
MG308 Simulation Modelling and Analysis,MG308,Simulation Modelling and Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG308.htm,Undergraduate
IR313 Managing China's Rise in East Asia,IR313,Managing China's Rise in East Asia,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR313.htm,Undergraduate
"PH103 Reason, Knowledge and Values: An Introduction to Philosophy",PH103,"Reason, Knowledge and Values: An Introduction to Philosophy",http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH103.htm,Undergraduate
LL259 Legal and Social Change since 1750,LL259,Legal and Social Change since 1750,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL259.htm,Undergraduate
MA210 Discrete Mathematics,MA210,Discrete Mathematics,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA210.htm,Undergraduate
EC102 Economics B,EC102,Economics B,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC102.htm,Undergraduate
MG314 Principles of Marketing,MG314,Principles of Marketing,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG314.htm,Undergraduate
ST107 Quantitative Methods (Statistics),ST107,Quantitative Methods (Statistics),http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST107.htm,Undergraduate
LL232 Law and Institutions of the European Union,LL232,Law and Institutions of the European Union,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL232.htm,Undergraduate
"HY323 Travel, Pleasure and Politics: The European Grand Tour, 1670-1825",HY323,"Travel, Pleasure and Politics: The European Grand Tour, 1670-1825",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY323.htm,Undergraduate
GY324 Environmental Governance,GY324,Environmental Governance,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY324.htm,Undergraduate
EH327 China's Traditional Economy and its Growth in the Very Long-Term,EH327,China's Traditional Economy and its Growth in the Very Long-Term,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH327.htm,Undergraduate
"PH227 Genes, Brains and Society",PH227,"Genes, Brains and Society",http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH227.htm,Undergraduate
EC100 Economics A,EC100,Economics A,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC100.htm,Undergraduate
PH219 Governing Knowledge: Foundational Issues in Science Policy,PH219,Governing Knowledge: Foundational Issues in Science Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH219.htm,Undergraduate
"GY200 Economy, Society and Space",GY200,"Economy, Society and Space",http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY200.htm,Undergraduate
LN340 Mandarin Language and Society 5 (Mastery),LN340,Mandarin Language and Society 5 (Mastery),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN340.htm,Undergraduate
EC303 Economic Policy Analysis,EC303,Economic Policy Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC303.htm,Undergraduate
IR100 Concepts of International Society,IR100,Concepts of International Society,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR100.htm,Undergraduate
AC103 Elements of Management Accounting and Financial Management,AC103,Elements of Management Accounting and Financial Management,http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC103.htm,Undergraduate
PH299 Essay on an Approved Subject in Philosophy,PH299,Essay on an Approved Subject in Philosophy,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH299.htm,Undergraduate
LN100 Russian Language and Society 3 (advanced),LN100,Russian Language and Society 3 (advanced),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN100.htm,Undergraduate
ST300 Regression and Generalised Linear Models,ST300,Regression and Generalised Linear Models,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST300.htm,Undergraduate
LL284 Sentencing and Treatment of Offenders,LL284,Sentencing and Treatment of Offenders,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL284.htm,Undergraduate
MA313 Probability for Finance,MA313,Probability for Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA313.htm,Undergraduate
LN220 Spanish Language and Society 4 (proficiency),LN220,Spanish Language and Society 4 (proficiency),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN220.htm,Undergraduate
ST302 Stochastic Processes,ST302,Stochastic Processes,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST302.htm,Undergraduate
IR398 Dissertation,IR398,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR398.htm,Undergraduate
"HY238 The Cold War and European Integration, 1947-1992",HY238,"The Cold War and European Integration, 1947-1992",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY238.htm,Undergraduate
MG311 Behavioural Decision Science for Management and Policy,MG311,Behavioural Decision Science for Management and Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG311.htm,Undergraduate
MA208 Optimisation Theory,MA208,Optimisation Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA208.htm,Undergraduate
LN252 Global Literature and Society,LN252,Global Literature and Society,http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN252.htm,Undergraduate
LN251 Comparative Literature and 20th Century Political History,LN251,Comparative Literature and 20th Century Political History,http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN251.htm,Undergraduate
GV263 Public Policy Analysis,GV263,Public Policy Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV263.htm,Undergraduate
LL293 Taxation,LL293,Taxation,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL293.htm,Undergraduate
HY233 Empire and Nation: Britain and India since 1750,HY233,Empire and Nation: Britain and India since 1750,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY233.htm,Undergraduate
MA209 Differential Equations,MA209,Differential Equations,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA209.htm,Undergraduate
EC221 Principles of Econometrics,EC221,Principles of Econometrics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC221.htm,Undergraduate
GY300 Theories of Regional Development and Change,GY300,Theories of Regional Development and Change,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY300.htm,Undergraduate
LL301 Global Commodities Law,LL301,Global Commodities Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL301.htm,Undergraduate
"GY240 Research Techniques (Spatial, Social and Environmental)",GY240,"Research Techniques (Spatial, Social and Environmental)",http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY240.htm,Undergraduate
LN130 French Language and Society 3 (advanced),LN130,French Language and Society 3 (advanced),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN130.htm,Undergraduate
"AN200 The Anthropology of Kinship, Sex and Gender",AN200,"The Anthropology of Kinship, Sex and Gender",http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN200.htm,Undergraduate
"SO308 Personal Life, Intimacy and the Family",SO308,"Personal Life, Intimacy and the Family",http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO308.htm,Undergraduate
MA301 Game Theory I,MA301,Game Theory I,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA301.htm,Undergraduate
IR314 Southeast Asia: Intra-regional Politics and Security,IR314,Southeast Asia: Intra-regional Politics and Security,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR314.htm,Undergraduate
MA300 Game Theory,MA300,Game Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA300.htm,Undergraduate
"AC104 Elements of Accounting, Financial Institutions and Financial Management",AC104,"Elements of Accounting, Financial Institutions and Financial Management",http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC104.htm,Undergraduate
"EH307 The Economic History of South Asia, 1600-2000",EH307,"The Economic History of South Asia, 1600-2000",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH307.htm,Undergraduate
GY325 Environment and Development,GY325,Environment and Development,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY325.htm,Undergraduate
LL272 Outlines of Modern Criminology,LL272,Outlines of Modern Criminology,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL272.htm,Undergraduate
ST201 Statistical Models and Data Analysis,ST201,Statistical Models and Data Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST201.htm,Undergraduate
ST327 Market Research: An Integrated Approach,ST327,Market Research: An Integrated Approach,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST327.htm,Undergraduate
IR305 Strategic Aspects of International Relations,IR305,Strategic Aspects of International Relations,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR305.htm,Undergraduate
LL275 Property II,LL275,Property II,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL275.htm,Undergraduate
"MG201 Core Disciplines II: Marketing, Human Resource Management and Information Systems",MG201,"Core Disciplines II: Marketing, Human Resource Management and Information Systems",http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG201.htm,Undergraduate
ST205 Sample Surveys and Experiments,ST205,Sample Surveys and Experiments,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST205.htm,Undergraduate
GV305 Sustainability Science and Policy: Problems and Perspectives,GV305,Sustainability Science and Policy: Problems and Perspectives,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV305.htm,Undergraduate
GV311 British Government,GV311,British Government,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV311.htm,Undergraduate
ST108 Statistical Methods for the Social Sciences,ST108,Statistical Methods for the Social Sciences,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST108.htm,Undergraduate
GV303 From Empire to Globalization,GV303,From Empire to Globalization,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV303.htm,Undergraduate
AN243 Children and Youth in Contemporary Ethnography,AN243,Children and Youth in Contemporary Ethnography,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN243.htm,Undergraduate
"HY315 The European Enlightenment, c.1680-1830",HY315,"The European Enlightenment, c.1680-1830",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY315.htm,Undergraduate
PH221 Problems of Analytic Philosophy,PH221,Problems of Analytic Philosophy,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH221.htm,Undergraduate
AN226 Political and Legal Anthropology,AN226,Political and Legal Anthropology,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN226.htm,Undergraduate
AN244 Anthropology and Media,AN244,Anthropology and Media,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN244.htm,Undergraduate
EC310 Behavioural Economics,EC310,Behavioural Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC310.htm,Undergraduate
EC301 Advanced Economic Analysis,EC301,Advanced Economic Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC301.htm,Undergraduate
MA310 Mathematics of Finance and Valuation,MA310,Mathematics of Finance and Valuation,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA310.htm,Undergraduate
SA313 European Social Policy,SA313,European Social Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA313.htm,Undergraduate
LL204 Advanced Torts,LL204,Advanced Torts,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL204.htm,Undergraduate
PH214 Morality and Values,PH214,Morality and Values,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH214.htm,Undergraduate
MG202 Analytical Methods for Management,MG202,Analytical Methods for Management,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG202.htm,Undergraduate
AN227 The Anthropology of Economic Institutions and their Social Transformations,AN227,The Anthropology of Economic Institutions and their Social Transformations,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN227.htm,Undergraduate
LL298 Half-Unit Dissertation on an approved legal topic,LL298,Half-Unit Dissertation on an approved legal topic,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL298.htm,Undergraduate
"HY243 Islamic Empires, 1400 - 1800",HY243,"Islamic Empires, 1400 - 1800",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY243.htm,Undergraduate
LL108 Criminal Law,LL108,Criminal Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL108.htm,Undergraduate
EH207 The Making of an Economic Superpower: China since 1850,EH207,The Making of an Economic Superpower: China since 1850,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH207.htm,Undergraduate
LN132 French Language and Society 2 (intermediate),LN132,French Language and Society 2 (intermediate),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN132.htm,Undergraduate
SA105 Crime and Society,SA105,Crime and Society,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA105.htm,Undergraduate
LL106 Public Law,LL106,Public Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL106.htm,Undergraduate
GY140 Methods in Spatial and Social Analysis,GY140,Methods in Spatial and Social Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY140.htm,Undergraduate
ST305 Actuarial Mathematics (Life),ST305,Actuarial Mathematics (Life),http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST305.htm,Undergraduate
SO208 Gender and Society,SO208,Gender and Society,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO208.htm,Undergraduate
GV262 Contemporary Political Theory,GV262,Contemporary Political Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV262.htm,Undergraduate
LN320 Spanish Language and Society 5 (mastery),LN320,Spanish Language and Society 5 (mastery),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN320.htm,Undergraduate
LL241 European Legal History,LL241,European Legal History,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL241.htm,Undergraduate
MA318 History of Mathematics in Finance and Economics,MA318,History of Mathematics in Finance and Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA318.htm,Undergraduate
"HY242 The Soviet Union: Domestic, International and Intellectual History",HY242,"The Soviet Union: Domestic, International and Intellectual History",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY242.htm,Undergraduate
HY319 Napoleon and Europe,HY319,Napoleon and Europe,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY319.htm,Undergraduate
EC321 Monetary Economics,EC321,Monetary Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC321.htm,Undergraduate
GY201 Urban and Spatial Economic Analysis I,GY201,Urban and Spatial Economic Analysis I,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY201.htm,Undergraduate
LL205 Medical Law,LL205,Medical Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL205.htm,Undergraduate
AN221 The Anthropology of Christianity,AN221,The Anthropology of Christianity,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN221.htm,Undergraduate
EH326 Innovation and its Finance in the 19th and 20th Centuries,EH326,Innovation and its Finance in the 19th and 20th Centuries,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH326.htm,Undergraduate
LN330 French Language and Society 5 (mastery),LN330,French Language and Society 5 (mastery),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN330.htm,Undergraduate
HY311 Limited War During the Cold War Era: The US in Korea (1950-53) and Vietnam (1954-75),HY311,Limited War During the Cold War Era: The US in Korea (1950-53) and Vietnam (1954-75),http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY311.htm,Undergraduate
"EH301 The Origins of the World Economy, 1450 - 1750",EH301,"The Origins of the World Economy, 1450 - 1750",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH301.htm,Undergraduate
MG203 Organisational Theory and Behaviour,MG203,Organisational Theory and Behaviour,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG203.htm,Undergraduate
EC210 Macroeconomic Principles,EC210,Macroeconomic Principles,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC210.htm,Undergraduate
EH237 Theories and Evidence in Economic History,EH237,Theories and Evidence in Economic History,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH237.htm,Undergraduate
LN104 Mandarin Language and Society Level 1 (Beginner),LN104,Mandarin Language and Society Level 1 (Beginner),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN104.htm,Undergraduate
LN131 French Language and Society 1 (beginner),LN131,French Language and Society 1 (beginner),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN131.htm,Undergraduate
AN230 The Anthropology of Industrialisation and Industrial Life,AN230,The Anthropology of Industrialisation and Industrial Life,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN230.htm,Undergraduate
PS203 Societal Psychology: Theory and Applications,PS203,Societal Psychology: Theory and Applications,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS203.htm,Undergraduate
